year,revenue,assets,CIK,ticker
2010.0,903206000,4495246000,0001045810,NVDA
2011.0,953194000,5552928000,0001045810,NVDA
2012.0,962039000,6412245000,0001045810,NVDA
2013.0,1144218000,7250894000,0001045810,NVDA
2015.0,4280159000,7201368000,0001045810,NVDA
2016.0,1103000000,7370000000,0001045810,NVDA
2017.0,4682000000,7370000000,0001045810,NVDA
2018.0,5010000000,11241000000,0001045810,NVDA
2022.0,10918000000,44187000000,0001045810,NVDA
2023.0,26974000000,41182000000,0001045810,NVDA
2024.0,60922000000,65728000000,0001045810,NVDA
2025.0,130497000000,111601000000,0001045810,NVDA
2015.0,74989000000,147461000000,0001652044,GOOGL
2015.0,74989000000,147461000000,0001652044,GOOG
2016.0,90272000000,167497000000,0001652044,GOOGL
2016.0,90272000000,167497000000,0001652044,GOOG
2017.0,110855000000,197295000000,0001652044,GOOGL
2017.0,110855000000,197295000000,0001652044,GOOG
2020.0,182527000000,319616000000,0001652044,GOOGL
2020.0,182527000000,319616000000,0001652044,GOOG
2021.0,257637000000,359268000000,0001652044,GOOGL
2021.0,257637000000,359268000000,0001652044,GOOG
2018.0,62900000000,365725000000,0000320193,AAPL
2010.0,16039000000,86113000000,0000789019,MSFT
2018.0,72383000000,131310000000,0001018724,AMZN
2019.0,177866000000,225248000000,0001018724,AMZN
2020.0,59700000000,321195000000,0001018724,AMZN
2021.0,280522000000,420549000000,0001018724,AMZN
2022.0,513983000000,420549000000,0001018724,AMZN
2023.0,574785000000,527854000000,0001018724,AMZN
2024.0,637959000000,624894000000,0001018724,AMZN
2012.0,5089000000,15103000000,0001326801,META
2013.0,7872000000,17895000000,0001326801,META
2014.0,12466000000,40184000000,0001326801,META
2015.0,12466000000,49407000000,0001326801,META
2016.0,27638000000,64961000000,0001326801,META
2017.0,40653000000,84524000000,0001326801,META
2018.0,5444000000,50124000000,0001730168,AVGO
2011.0,204242000,713448000,0001318605,TSLA
2012.0,306332000,1114190000,0001318605,TSLA
2013.0,50104000,2416930000,0001318605,TSLA
2014.0,956661000,5849251000,0001318605,TSLA
2015.0,1214379000,8092460000,0001318605,TSLA
2016.0,3198356000,22664076000,0001318605,TSLA
2017.0,1270017000,28655372000,0001318605,TSLA
2018.0,2789557000,28655372000,0001318605,TSLA
2019.0,7384000000,34309000000,0001318605,TSLA
2020.0,4541000000,52148000000,0001318605,TSLA
2021.0,24578000000,62131000000,0001318605,TSLA
2022.0,81462000000,82338000000,0001318605,TSLA
2023.0,81462000000,106618000000,0001318605,TSLA
2024.0,97690000000,122070000000,0001318605,TSLA
2025.0,94827000000,137806000000,0001318605,TSLA
2009.0,112493000000,297119000000,0001067983,BRK-B
2009.0,112493000000,297119000000,0001067983,BRK-A
2010.0,29904000000,372229000000,0001067983,BRK-B
2010.0,29904000000,372229000000,0001067983,BRK-A
2011.0,37955000000,392647000000,0001067983,BRK-B
2011.0,37955000000,392647000000,0001067983,BRK-A
2012.0,33720000000,427452000000,0001067983,BRK-B
2012.0,33720000000,427452000000,0001067983,BRK-A
2013.0,38147000000,427452000000,0001067983,BRK-B
2013.0,38147000000,427452000000,0001067983,BRK-A
2014.0,162463000000,526186000000,0001067983,BRK-B
2014.0,162463000000,526186000000,0001067983,BRK-A
2015.0,182150000000,552257000000,0001067983,BRK-B
2015.0,182150000000,552257000000,0001067983,BRK-A
2016.0,51549000000,525867000000,0001067983,BRK-B
2016.0,51549000000,525867000000,0001067983,BRK-A
2017.0,54254000000,702095000000,0001067983,BRK-B
2017.0,54254000000,702095000000,0001067983,BRK-A
2018.0,63714000000,707794000000,0001067983,BRK-B
2018.0,63714000000,707794000000,0001067983,BRK-A
2019.0,239933000000,817729000000,0001067983,BRK-B
2019.0,239933000000,817729000000,0001067983,BRK-A
2020.0,60678000000,873729000000,0001067983,BRK-B
2020.0,60678000000,873729000000,0001067983,BRK-A
2021.0,276094000000,873729000000,0001067983,BRK-B
2021.0,276094000000,873729000000,0001067983,BRK-A
2022.0,302089000000,948452000000,0001067983,BRK-B
2022.0,302089000000,948452000000,0001067983,BRK-A
2023.0,364482000000,1069978000000,0001067983,BRK-B
2023.0,364482000000,1069978000000,0001067983,BRK-A
2024.0,371433000000,1153881000000,0001067983,BRK-B
2024.0,371433000000,1153881000000,0001067983,BRK-A
2009.0,408214000000,170706000000,0000104169,WMT
2010.0,421849000000,180663000000,0000104169,WMT
2011.0,408085000000,193406000000,0000104169,WMT
2012.0,127919000000,203105000000,0000104169,WMT
2013.0,112901000000,193406000000,0000104169,WMT
2015.0,468651000000,203706000000,0000104169,WMT
2016.0,476294000000,199581000000,0000104169,WMT
2017.0,120229000000,198825000000,0000104169,WMT
2018.0,115904000000,199581000000,0000104169,WMT
2019.0,138793000000,219295000000,0000104169,WMT
2020.0,122690000000,236495000000,0000104169,WMT
2021.0,514405000000,219295000000,0000104169,WMT
2022.0,572754000000,244860000000,0000104169,WMT
2023.0,572754000000,243197000000,0000104169,WMT
2024.0,648125000000,252399000000,0000104169,WMT
2025.0,680985000000,260823000000,0000104169,WMT
2009.0,21836000000,27460900000,0000059478,LLY
2010.0,23076000000,31001400000,0000059478,LLY
2011.0,24286500000,33659800000,0000059478,LLY
2012.0,22603400000,34398900000,0000059478,LLY
2013.0,5808800000,35248700000,0000059478,LLY
2014.0,22603400000,37178200000,0000059478,LLY
2015.0,5375600000,35568900000,0000059478,LLY
2016.0,4644700000,35568900000,0000059478,LLY
2017.0,6160700000,44981000000,0000059478,LLY
2018.0,21222100000,43908400000,0000059478,LLY
2019.0,5637600000,39286100000,0000059478,LLY
2020.0,24539800000,39286100000,0000059478,LLY
2021.0,28318400000,48806000000,0000059478,LLY
2022.0,28541400000,49489800000,0000059478,LLY
2023.0,34124100000,64006300000,0000059478,LLY
2024.0,45042700000,78714900000,0000059478,LLY
2009.0,100434000000,2031989000000,0000019617,JPM
2009.0,100434000000,2031989000000,0000019617,JPM-PD
2009.0,100434000000,2031989000000,0000019617,JPM-PC
2009.0,100434000000,2031989000000,0000019617,JPM-PJ
2009.0,100434000000,2031989000000,0000019617,AMJB
2009.0,100434000000,2031989000000,0000019617,JPM-PK
2009.0,100434000000,2031989000000,0000019617,JPM-PL
2009.0,100434000000,2031989000000,0000019617,JPM-PM
2009.0,100434000000,2031989000000,0000019617,VYLD
2010.0,102694000000,2117605000000,0000019617,JPM
2010.0,102694000000,2117605000000,0000019617,JPM-PD
2010.0,102694000000,2117605000000,0000019617,JPM-PC
2010.0,102694000000,2117605000000,0000019617,JPM-PJ
2010.0,102694000000,2117605000000,0000019617,AMJB
2010.0,102694000000,2117605000000,0000019617,JPM-PK
2010.0,102694000000,2117605000000,0000019617,JPM-PL
2010.0,102694000000,2117605000000,0000019617,JPM-PM
2010.0,102694000000,2117605000000,0000019617,VYLD
2011.0,97234000000,2265792000000,0000019617,JPM
2011.0,97234000000,2265792000000,0000019617,JPM-PD
2011.0,97234000000,2265792000000,0000019617,JPM-PC
2011.0,97234000000,2265792000000,0000019617,JPM-PJ
2011.0,97234000000,2265792000000,0000019617,AMJB
2011.0,97234000000,2265792000000,0000019617,JPM-PK
2011.0,97234000000,2265792000000,0000019617,JPM-PL
2011.0,97234000000,2265792000000,0000019617,JPM-PM
2011.0,97234000000,2265792000000,0000019617,VYLD
2012.0,102694000000,2359141000000,0000019617,JPM
2012.0,102694000000,2359141000000,0000019617,JPM-PD
2012.0,102694000000,2359141000000,0000019617,JPM-PC
2012.0,102694000000,2359141000000,0000019617,JPM-PJ
2012.0,102694000000,2359141000000,0000019617,AMJB
2012.0,102694000000,2359141000000,0000019617,JPM-PK
2012.0,102694000000,2359141000000,0000019617,JPM-PL
2012.0,102694000000,2359141000000,0000019617,JPM-PM
2012.0,102694000000,2359141000000,0000019617,VYLD
2013.0,96606000000,2359141000000,0000019617,JPM
2013.0,96606000000,2359141000000,0000019617,JPM-PD
2013.0,96606000000,2359141000000,0000019617,JPM-PC
2013.0,96606000000,2359141000000,0000019617,JPM-PJ
2013.0,96606000000,2359141000000,0000019617,AMJB
2013.0,96606000000,2359141000000,0000019617,JPM-PK
2013.0,96606000000,2359141000000,0000019617,JPM-PL
2013.0,96606000000,2359141000000,0000019617,JPM-PM
2013.0,96606000000,2359141000000,0000019617,VYLD
2014.0,94205000000,2573126000000,0000019617,JPM
2014.0,94205000000,2573126000000,0000019617,JPM-PD
2014.0,94205000000,2573126000000,0000019617,JPM-PC
2014.0,94205000000,2573126000000,0000019617,JPM-PJ
2014.0,94205000000,2573126000000,0000019617,AMJB
2014.0,94205000000,2573126000000,0000019617,JPM-PK
2014.0,94205000000,2573126000000,0000019617,JPM-PL
2014.0,94205000000,2573126000000,0000019617,JPM-PM
